Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10u,C_0805_2012Metric,142.3,-112.15,-90.0,top
C10,4.7u,C_0603_1608Metric,131.8,-113.9,-90.0,top
C11,4.7u,C_0402_1005Metric,155.15,-123.55,0.0,top
C12,1n,C_0402_1005Metric,142.3,-110.4,0.0,bottom
C13,1n,C_0402_1005Metric,126.5,-111.02,90.0,top
C14,1n,C_0402_1005Metric,151.4,-109.33,90.0,top
C15,0.1u,C_0402_1005Metric,110.7,-120.0,0.0,top
C16,0.1u,C_0402_1005Metric,107.29,-119.28,90.0,top
C17,10u,C_0805_2012Metric,140.8,-108.0,90.0,top
C18,10u,C_0805_2012Metric,142.8,-108.0,90.0,top
C19,10u,C_0805_2012Metric,144.8,-108.0,90.0,top
C2,10u,C_0805_2012Metric,144.3,-112.15,-90.0,top
C20,10u,C_0805_2012Metric,140.8,-108.0,90.0,bottom
C21,10u,C_0805_2012Metric,142.8,-108.0,90.0,bottom
C22,0.1u,C_0402_1005Metric,131.25,-114.78,270.0,bottom
C23,0.1u,C_0402_1005Metric,114.8,-107.25,180.0,top
C24,0.1u,C_0402_1005Metric,133.2,-110.7,90.0,top
C25,10u,C_0805_2012Metric,130.0,-112.5,-90.0,top
C26,10u,C_0805_2012Metric,128.0,-112.5,-90.0,top
C27,1u,C_0402_1005Metric,112.52,-108.2,180.0,top
C28,1u,C_0402_1005Metric,163.95,-108.22,-90.0,top
C29,0.1u,C_0402_1005Metric,121.5,-114.92,90.0,top
C3,47n,C_0603_1608Metric,134.7,-112.2,270.0,bottom
C30,0.1u,C_0402_1005Metric,110.68,-121.0,0.0,top
C31,1u,C_0402_1005Metric,164.77,-110.6,180.0,top
C32,18p,C_0402_1005Metric,119.78,-123.6,0.0,top
C33,18p,C_0402_1005Metric,121.68,-123.6,180.0,top
C34,220p,C_0402_1005Metric,113.4,-117.0,-90.0,top
C35,1u,C_0402_1005Metric,152.82,-120.1,180.0,top
C36,1u,C_0402_1005Metric,112.52,-107.25,180.0,top
C37,1u,C_0402_1005Metric,163.5,-106.82,0.0,top
C38,220p,C_0402_1005Metric,107.25,-115.4,90.0,top
C39,0.1u,C_0402_1005Metric,122.9,-122.75,180.0,bottom
C4,47n,C_0603_1608Metric,139.2,-112.2,90.0,bottom
C5,10u,C_0805_2012Metric,133.4,-108.0,90.0,top
C6,10u,C_0805_2012Metric,131.4,-108.0,90.0,top
C7,10u,C_0805_2012Metric,129.4,-108.0,90.0,top
C8,0.1u,C_0402_1005Metric,136.005,-108.8,0.0,top
C9,0.1u,C_0402_1005Metric,138.025,-108.8,180.0,top
D1,APFA3010LSEEZGKQBKC,LED_Kingbright_APFA3010_3x1.5mm_Horizontal,167.9,-111.4,90.0,bottom
D10,5.6V,D_SOD-523,149.61,-111.3,0.0,bottom
D2,12V,D_SOD-523,121.2,-110.8,90.0,top
D3,12V,D_SOD-523,150.4,-118.0,90.0,top
D4,BAT43XV2,D_SOD-523,121.2,-121.9,270.0,bottom
D5,BAS16TW,SOT-363_SC-70-6,155.6,-120.4,90.0,top
D6,DESD5V0U1BL-7B,DESD5V0U1BL7B,112.3,-116.85,90.0,top
D7,DESD5V0U1BL-7B,DESD5V0U1BL7B,112.1,-115.55,180.0,top
D8,DESD5V0U1BL-7B,DESD5V0U1BL7B,115.65,-115.2,0.0,top
D9,DESD5V0U1BL-7B,DESD5V0U1BL7B,114.1375,-115.2,180.0,top
H1,MountingHole_Pad,Wuerth_9774030151_HS,104.0,-111.8,0.0,top
H2,MountingHole_Pad,Wuerth_9774030151_HS,155.0,-111.8,0.0,top
J1,Conn_01x03,TE_1-2307727-3,103.3,-120.55,90.0,top
J3,Conn_01x03,TE_1-2307727-3,128.5,-120.55,90.0,top
J4,Conn_01x03,TE_1-2307727-3,146.3,-120.55,90.0,top
J5,GT-USB-7055AB,CONN_GT-USB-7055A_GSW,114.85,-111.85651,180.0,top
L1,APH0630T1R0M,L_APV_APH0630,137.1,-118.7,180.0,top
Q1,CSD17581Q3A,VSON-8_3.3x3.3mm_TI_CSD,124.0,-108.585,0.0,top
Q2,CSD17581Q3A,VSON-8_3.3x3.3mm_TI_CSD,124.0,-113.065,180.0,top
Q3,CSD17581Q3A,VSON-8_3.3x3.3mm_TI_CSD,148.83,-108.44,0.0,top
